,ylat,xlong,p_area,p_tech_sec,p_axis,p_azimuth,p_tilt,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
56,45.05580139,-93.92310333,95908,c-si,single-axis,180,20.0,3.5,5.0,greenfield,agrivoltaic,-0.401914
57,44.20510101,-92.66400146,117887,c-si,single-axis,180,0.0,4.0,6.5,greenfield,agrivoltaic,-0.332219
58,44.79700089,-93.43990326,54453,c-si,fixed-tilt,180,28.0,3.0,3.9,greenfield,non-agrivoltaic,0.0501857
59,45.11489868,-93.81390381,54970,c-si,fixed-tilt,180,0.0,2.3,2.6,greenfield,non-agrivoltaic,-0.514075
60,45.47389984,-94.40640259,66452,c-si,fixed-tilt,180,0.0,3.0,4.1,greenfield,non-agrivoltaic,-0.180009
61,44.76490021,-93.85700226,110228,c-si,fixed-tilt,180,20.0,5.0,6.9,greenfield,non-agrivoltaic,-0.159157
62,45.39080048,-92.76509857,80618,c-si,fixed-tilt,180,,3.9,4.8,greenfield,non-agrivoltaic,-0.230087
63,44.54579926,-92.5109024,100961,c-si,fixed-tilt,180,0.0,4.9,6.1,greenfield,non-agrivoltaic,-0.209688
64,44.6216011,-93.13400269,92027,c-si,fixed-tilt,180,,5.0,6.2,greenfield,agrivoltaic,-0.048406
65,44.02410126,-92.59159851,104176,c-si,fixed-tilt,180,,5.0,6.7,greenfield,non-agrivoltaic,-0.119331
66,44.21590042,-92.65910339,74451,c-si,fixed-tilt,180,,3.9,4.8,greenfield,non-agrivoltaic,-0.115673
67,44.36750031,-92.01979828,61977,c-si,fixed-tilt,180,0.0,3.0,4.1,greenfield,non-agrivoltaic,-0.0766611
68,44.69210052,-92.81710052,17166,c-si,fixed-tilt,180,25.0,1.0,1.2,greenfield,agrivoltaic,0.010382
69,44.93650055,-93.83450317,118429,c-si,fixed-tilt,180,30.0,5.0,7.0,greenfield,agrivoltaic,-0.24013
70,44.80099869,-93.91159821,97996,c-si,fixed-tilt,180,,4.9,6.1,greenfield,non-agrivoltaic,-0.167279
71,45.66989899,-94.70819855,94441,c-si,fixed-tilt,180,25.0,3.0,4.2,greenfield,agrivoltaic,-0.579642
72,45.85129929,-95.14790344,132075,c-si,fixed-tilt,180,,5.0,7.2,greenfield,non-agrivoltaic,-0.346674
73,44.08259964,-93.28510284,155404,c-si,single-axis,180,30.0,5.0,6.6,greenfield,non-agrivoltaic,-0.626092
74,45.64220047,-95.35810089,72296,c-si,fixed-tilt,180,0.0,3.0,3.7,greenfield,non-agrivoltaic,-0.424065
75,43.84700012,-93.83750153,36815,thin-film,fixed-tilt,180,0.0,1.8,2.2,greenfield,non-agrivoltaic,-0.225025
76,44.24119949,-93.96209717,51049,thin-film,fixed-tilt,180,25.0,3.0,3.6,greenfield,agrivoltaic,0.0246458
77,45.43009949,-94.42690277,122364,c-si,fixed-tilt,180,0.0,5.0,7.1,greenfield,agrivoltaic,-0.265267
78,44.7262001,-93.02279663,135514,c-si,fixed-tilt,180,,5.0,7.5,greenfield,non-agrivoltaic,-0.327411
79,44.72219849,-93.02220154,122314,thin-film,fixed-tilt,185,,4.5,6.5,greenfield,non-agrivoltaic,-0.378516
80,43.91220093,-96.18720245,106822,c-si,fixed-tilt,180,,5.0,5.0,greenfield,non-agrivoltaic,-0.525482
81,44.18270111,-93.87539673,133856,c-si,fixed-tilt,180,30.0,5.0,7.5,greenfield,non-agrivoltaic,-0.311507
82,45.31969833,-92.79799652,68957,thin-film,fixed-tilt,180,0.0,3.0,3.0,greenfield,non-agrivoltaic,-0.602072
83,44.25889969,-94.28890228,124481,c-si,fixed-tilt,180,0.0,5.0,7.5,greenfield,non-agrivoltaic,-0.213613
84,45.40029907,-92.67720032,100158,c-si,fixed-tilt,180,20.0,5.0,7.2,greenfield,agrivoltaic,0.0563339
85,45.46080017,-94.51309967,111985,c-si,fixed-tilt,180,0.0,5.0,7.0,greenfield,agrivoltaic,-0.161225
86,45.39160156,-92.68509674,94091,c-si,fixed-tilt,180,20.0,5.0,7.2,greenfield,agrivoltaic,0.163866
87,44.46860123,-93.12339783,99059,c-si,fixed-tilt,180,0.0,5.0,7.0,greenfield,non-agrivoltaic,0.0279975
88,44.4754982,-93.20079803,47434,c-si,fixed-tilt,180,25.0,2.7,3.8,greenfield,non-agrivoltaic,0.247141
89,44.47570038,-93.1977005,70844,thin-film,fixed-tilt,185,,4.5,6.5,greenfield,non-agrivoltaic,0.517165
90,45.07120132,-93.6434021,125034,c-si,fixed-tilt,180,25.0,5.0,7.0,greenfield,non-agrivoltaic,-0.312565
91,45.66519928,-94.22450256,55523,c-si,fixed-tilt,180,0.0,3.0,4.2,greenfield,agrivoltaic,0.143513
92,45.62530136,-94.07820129,121588,c-si,fixed-tilt,180,,5.0,7.0,greenfield,non-agrivoltaic,-0.275755
93,44.95059967,-94.05460358,80077,c-si,fixed-tilt,180,,3.0,4.2,greenfield,non-agrivoltaic,-0.394578
94,44.65439987,-93.11119843,101094,c-si,fixed-tilt,180,0.0,5.0,6.5,greenfield,non-agrivoltaic,-0.119741
95,44.8429985,-92.8710022,106238,c-si,fixed-tilt,180,20.0,5.0,6.5,greenfield,non-agrivoltaic,-0.191964
96,45.18360138,-93.73349762,80254,c-si,fixed-tilt,180,0.0,4.0,5.6,greenfield,non-agrivoltaic,0.0074317
97,44.86489868,-93.86060333,61530,c-si,fixed-tilt,180,0.0,3.0,3.9,greenfield,non-agrivoltaic,-0.140918
98,44.12530136,-93.28500366,23389,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.222729
99,44.79560089,-95.20079803,25930,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.358806
100,45.64599991,-95.53230286,18170,c-si,fixed-tilt,180,25.0,5.0,6.2,greenfield,non-agrivoltaic,6.3045902
101,44.21289825,-93.54889679,109944,c-si,fixed-tilt,180,20.0,5.0,7.1,greenfield,non-agrivoltaic,-0.113205
102,44.84600067,-92.87490082,86365,c-si,fixed-tilt,180,0.0,4.0,5.0,greenfield,agrivoltaic,-0.268277
103,45.43009949,-94.01889801,57273,c-si,fixed-tilt,180,20.0,3.3,4.5,greenfield,non-agrivoltaic,0.211409
104,44.52700043,-93.36640167,30524,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,-0.547319
105,44.90510178,-94.00039673,32110,c-si,single-axis,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.599874
106,44.8742981,-93.81469727,21761,c-si,fixed-tilt,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.118843
107,44.31949997,-92.6678009,21661,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.111953
108,45.25059891,-92.87149811,152726,c-si,single-axis,180,0.0,5.0,5.0,greenfield,non-agrivoltaic,-0.851853
109,45.06090164,-93.90329742,116395,c-si,fixed-tilt,180,0.0,5.0,7.4,greenfield,non-agrivoltaic,-0.136443
110,45.06100082,-93.9803009,119081,c-si,fixed-tilt,180,0.0,5.0,7.1,greenfield,non-agrivoltaic,-0.228156
111,44.44380188,-93.19850159,127386,c-si,fixed-tilt,180,,5.0,6.6,greenfield,non-agrivoltaic,-0.409391
112,44.19839859,-93.56829834,112347,c-si,fixed-tilt,180,,5.0,6.6,greenfield,non-agrivoltaic,-0.248495
113,45.29190063,-92.8125,55780,c-si,fixed-tilt,180,,2.5,3.3,greenfield,non-agrivoltaic,-0.238881
114,44.13249969,-93.26509857,22635,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.176473
115,44.39619827,-92.60910034,58038,c-si,fixed-tilt,180,10.0,1.0,1.4,greenfield,non-agrivoltaic,-1.0517401
116,45.47999954,-92.81279755,42311,c-si,fixed-tilt,180,52.0,1.0,1.4,greenfield,non-agrivoltaic,-0.843735
117,44.55220032,-92.63700104,138961,c-si,fixed-tilt,180,,5.0,7.1,greenfield,non-agrivoltaic,-0.426037
118,45.48989868,-92.85179901,27080,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.411997
119,44.28409958,-93.95420074,20446,thin-film,fixed-tilt,180,25.0,1.0,1.5,greenfield,non-agrivoltaic,0.0906116
120,45.6711998,-95.3884964,19158,thin-film,fixed-tilt,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,0.205035
121,43.97809982,-95.85079956,26290,thin-film,fixed-tilt,180,,1.0,1.5,greenfield,non-agrivoltaic,-0.287716
122,44.22669983,-93.42030334,22972,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.197522
123,45.45930099,-92.89959717,27999,c-si,fixed-tilt,179,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.451363
124,45.45930099,-92.9016037,26196,c-si,single-axis,180,20.0,1.0,1.0,greenfield,non-agrivoltaic,-0.725758
125,45.31549835,-93.77030182,30283,c-si,single-axis,180,0.0,1.0,1.0,greenfield,non-agrivoltaic,-0.845277
126,45.43560028,-92.94529724,27535,c-si,single-axis,180,20.0,1.0,1.0,greenfield,non-agrivoltaic,-0.768824
127,45.62450027,-94.06130219,27674,c-si,single-axis,180,25.0,1.0,1.0,greenfield,non-agrivoltaic,-0.773055
128,45.44760132,-92.92340088,24585,c-si,single-axis,180,25.0,1.0,1.0,contaminated,agrivoltaic,-0.667728
129,44.520401,-94.52420044,80375,c-si,fixed-tilt,180,0.0,3.3,4.5,greenfield,non-agrivoltaic,-0.3125
130,45.49380112,-92.84490204,30112,c-si,single-axis,180,25.0,1.0,1.0,greenfield,non-agrivoltaic,-0.840927
131,45.49269867,-92.90450287,31039,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,-0.564973
132,44.54909897,-93.01650238,51824,c-si,single-axis,180,25.0,2.0,2.5,greenfield,non-agrivoltaic,-0.49223
133,45.23490143,-93.48370361,57782,c-si,fixed-tilt,180,0.0,3.4,4.6,greenfield,non-agrivoltaic,0.235502
134,44.55830002,-93.37650299,37253,c-si,fixed-tilt,180,0.0,1.8,2.6,greenfield,non-agrivoltaic,0.00777
135,45.41790009,-94.00879669,131924,c-si,single-axis,180,,4.8,6.4,greenfield,non-agrivoltaic,-0.485906
136,45.39459991,-92.78119659,27508,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.430658
137,44.29539871,-92.73480225,23161,c-si,fixed-tilt,180,0.0,1.1,1.4,greenfield,non-agrivoltaic,-0.20906
138,43.9068985,-93.48889923,26424,c-si,fixed-tilt,181,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.382222
139,44.09379959,-93.70960236,34192,c-si,fixed-tilt,178,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.661463
140,45.43529892,-94.04399872,26662,c-si,fixed-tilt,180,0.0,1.1,1.4,greenfield,non-agrivoltaic,-0.393194
141,44.03549957,-93.49530029,18151,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,0.0501857
142,44.29930115,-93.24009705,37523,c-si,fixed-tilt,180,20.0,1.0,1.3,greenfield,non-agrivoltaic,-0.807612
143,45.63330078,-95.52850342,90353,c-si,fixed-tilt,180,20.0,1.0,1.3,greenfield,non-agrivoltaic,-1.27756
144,45.6570015,-95.51909637,18560,c-si,fixed-tilt,180,20.0,1.0,1.3,greenfield,non-agrivoltaic,0.0135712
145,44.48479843,-93.21230316,27840,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,-0.528067
146,44.5442009,-94.22309875,15950,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,0.279466
147,44.25189972,-93.27410126,18347,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,0.0324357
148,44.2983017,-92.74060059,19457,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,0.057891
149,44.29959869,-92.74120331,19467,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,0.0570335
150,44.59960175,-93.13529968,48366,c-si,fixed-tilt,182,10.0,3.0,3.8,greenfield,non-agrivoltaic,0.211329
151,45.65230179,-94.75409698,30797,thin-film,single-axis,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.556751
152,45.31689835,-92.80039978,31210,thin-film,single-axis,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.570706
153,45.64899826,-94.55950165,30840,thin-film,single-axis,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.558221
154,44.0904007,-93.55590057,19582,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,-0.0712343
155,44.0,-93.49880219,19558,c-si,fixed-tilt,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,-0.0693444
156,44.24430084,-93.26979828,18114,c-si,fixed-tilt,180,30.0,1.0,1.3,greenfield,non-agrivoltaic,0.0535796
157,45.46530151,-94.09100342,22585,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,-0.173296
158,45.67399979,-94.75090027,33250,c-si,single-axis,180,30.0,1.0,1.4,greenfield,non-agrivoltaic,-0.634553
159,45.34830093,-92.92320251,30930,c-si,single-axis,180,30.0,1.0,1.4,greenfield,non-agrivoltaic,-0.561285
160,45.51729965,-94.11070251,33636,c-si,single-axis,180,10.0,1.0,1.4,greenfield,non-agrivoltaic,-0.645762
161,45.61750031,-94.48220062,27165,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.41575
162,45.61800003,-94.48519897,18857,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,0.111003
163,45.07130051,-94.30390167,21581,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.106395
164,45.07249832,-94.30590057,18936,c-si,single-axis,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,-0.0186937
165,44.65639877,-93.10800171,21381,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.0923174
166,43.85810089,-91.32540131,22785,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.185919
167,44.29069901,-92.72370148,28388,c-si,single-axis,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.467258
168,45.84059906,-95.14800262,29311,c-si,fixed-tilt,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.503285
169,43.86579895,-91.32710266,22176,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.146774
170,45.51250076,-95.11430359,25172,c-si,fixed-tilt,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,-0.228928
171,43.9756012,-92.03170013,47645,thin-film,single-axis,180,25.0,2.0,2.7,greenfield,non-agrivoltaic,-0.296689
172,44.36289978,-92.0223999,31609,thin-film,single-axis,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.583842
173,44.12310028,-91.90090179,31148,thin-film,single-axis,180,35.0,1.0,1.4,greenfield,non-agrivoltaic,-0.568635
174,45.5245018,-94.29429626,86698,c-si,fixed-tilt,180,0.0,3.0,4.0,greenfield,agrivoltaic,-0.541017
175,44.90340042,-94.02880096,22784,c-si,fixed-tilt,180,20.0,1.0,1.0,greenfield,non-agrivoltaic,-0.593138
176,44.9007988,-94.02970123,113545,thin-film,fixed-tilt,155,,4.5,6.5,greenfield,non-agrivoltaic,-0.283305
177,45.52500153,-94.28199768,56336,c-si,fixed-tilt,180,83.0,5.0,7.0,greenfield,non-agrivoltaic,1.27121
178,45.48590088,-92.77420044,27062,c-si,single-axis,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,-0.325475
179,44.23709869,-93.39179993,27772,c-si,single-axis,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,-0.358349
180,45.48970032,-92.79940033,30633,c-si,single-axis,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.551105
181,44.66939926,-93.50520325,29425,c-si,single-axis,180,20.0,1.0,1.5,greenfield,non-agrivoltaic,-0.428738
182,44.55070114,-92.65979767,121367,c-si,single-axis,180,20.0,4.5,6.3,greenfield,non-agrivoltaic,-0.407125
183,44.6556015,-93.49780273,15986,c-si,single-axis,180,25.0,1.0,1.0,greenfield,non-agrivoltaic,-0.16015
184,44.81549835,-93.78549957,26750,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,-0.397202
185,44.71979904,-93.78559875,27269,c-si,single-axis,180,25.0,1.0,1.4,greenfield,non-agrivoltaic,-0.42031
186,44.84640121,-93.84770203,28999,c-si,single-axis,180,28.0,1.0,1.4,greenfield,non-agrivoltaic,-0.491364
187,45.48609924,-92.87590027,26429,c-si,single-axis,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.382455
188,44.09209824,-94.04679871,17673,c-si,single-axis,180,25.0,1.0,1.0,greenfield,non-agrivoltaic,-0.298675
189,44.83929825,-93.88240051,28621,c-si,single-axis,180,,1.0,1.4,greenfield,non-agrivoltaic,-0.476572
190,44.53070068,-93.39489746,28704,c-si,single-axis,180,,1.0,1.4,greenfield,agrivoltaic,-0.479853
191,44.53170013,-93.34829712,27267,c-si,single-axis,180,43.0,1.0,1.4,greenfield,non-agrivoltaic,-0.420222
192,45.47570038,-92.89040375,114914,thin-film,fixed-tilt,185,,4.5,6.5,greenfield,non-agrivoltaic,-0.299127
193,45.33470154,-93.79180145,61579,c-si,fixed-tilt,180,,5.0,6.9,greenfield,non-agrivoltaic,0.988108
194,45.52830124,-94.29679871,30699,unknown,,180,15.0,5.0,6.5,greenfield,non-agrivoltaic,3.3006101
195,44.29650116,-93.0632019,62648,c-si,fixed-tilt,180,20.0,3.0,3.9,greenfield,non-agrivoltaic,-0.167159
196,44.06850052,-93.57039642,148028,c-si,fixed-tilt,180,0.0,7.4,7.0,greenfield,non-agrivoltaic,-0.514311
197,45.32699966,-92.93470001,99119,c-si,fixed-tilt,180,0.0,5.0,6.5,greenfield,non-agrivoltaic,-0.0900197
198,44.93239975,-95.19360352,27702,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.438926
199,44.46989822,-95.66130066,1301869,c-si,fixed-tilt,180,20.0,62.25,93.4,greenfield,non-agrivoltaic,0.053007
200,46.09109879,-94.34020233,204207,thin-film,fixed-tilt,180,,10.8,13.1,greenfield,non-agrivoltaic,-0.123128
201,45.62099838,-94.18450165,93807,c-si,fixed-tilt,180,,5.0,7.5,greenfield,non-agrivoltaic,0.243431
202,45.2560997,-92.89550018,92489,c-si,fixed-tilt,180,,5.0,6.5,greenfield,non-agrivoltaic,0.0190351
203,43.93330002,-93.96219635,91557,c-si,fixed-tilt,180,,3.5,7.2,greenfield,non-agrivoltaic,0.212998
204,44.23469925,-95.63159943,8280,thin-film,fixed-tilt,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,2.5913301
205,44.23500061,-95.63289642,19405,thin-film,single-axis,180,20.0,2.7,3.9,greenfield,non-agrivoltaic,3.0511301
206,44.04000092,-92.69000244,97998,c-si,fixed-tilt,180,0.0,5.0,7.5,greenfield,non-agrivoltaic,0.16411
207,44.04270172,-92.69080353,21653,thin-film,fixed-tilt,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,-0.0042602
208,44.04270172,-92.68910217,16628,c-si,fixed-tilt,180,12.0,1.0,1.3,greenfield,non-agrivoltaic,0.202369
209,44.65629959,-93.11139679,15489,c-si,fixed-tilt,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,0.485518
210,45.38800049,-92.67990112,106700,c-si,fixed-tilt,180,25.0,5.0,6.5,greenfield,non-agrivoltaic,-0.198109
211,44.80799866,-93.87059784,71514,c-si,fixed-tilt,180,25.0,3.0,4.2,greenfield,non-agrivoltaic,-0.248885
212,44.18050003,-93.97019959,41297,c-si,fixed-tilt,180,0.0,1.0,1.4,greenfield,non-agrivoltaic,-0.824887
213,44.09339905,-93.40509796,38565,c-si,fixed-tilt,180,0.0,3.4,5.0,greenfield,non-agrivoltaic,1.39641
214,44.87530136,-93.81520081,20016,c-si,fixed-tilt,180,25.0,1.0,1.4,greenfield,agrivoltaic,0.0112732
215,45.42839813,-94.82309723,25937,thin-film,fixed-tilt,180,25.0,1.0,1.5,greenfield,non-agrivoltaic,-0.269701
216,44.05089951,-92.96099854,19230,thin-film,fixed-tilt,180,,1.0,1.5,greenfield,non-agrivoltaic,0.198234
217,44.94530106,-94.08229828,68510,c-si,fixed-tilt,180,,3.0,4.2,greenfield,non-agrivoltaic,-0.189144
